Project Number,Project Title,Financial Year,Contractor Name,Estimated Cost,Department,Approval/Contract Number,Amount Paid,Project Scope
006/132/228/16-17,Hormone Syncronization Programme For Livestock In Orkungu Salaita Njoro,2016-2017,n/a,0,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",,0,Hormone Synchronization Programme
006/132/229/16-17,Construction Of Crush Pens (Kimala And Njoro) (Mata Ward)-,2016-2017,n/a,0,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",,0,Construction Of Crush Pens 
006/132/23/24-25,Community Empowerment,2024-2025,n/a,0,"Youth, Sports, Gender and Social Services",,0,Community Empowerment
006/132/230/16-17,Starting Of Fishponds In Lake Jipe,2016-2017,n/a,0,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",,0,Construction Of The Fish Ponds 
006/132/231/16-17,Construction Of 1 Classroom-Kimondia Pre School,2016-2017,n/a,0,"Education, Libraries and VTCs",,0,Construction Of 1 Classroom 
006/132/232/16-17,Fencing Of Orkung'U Pre-School,2016-2017,n/a,0,"Education, Libraries and VTCs",,0,Fencing Construction 
006/132/233/16-17,Construction Of 1 Classroom Kasaani Pre-School,2016-2017,n/a,0,"Education, Libraries and VTCs",,0,Construction Of 1 Classroom 
006/132/234/16-17,Construction Of A Kitchen - Orkung'U Pre-School,2016-2017,n/a,0,"Education, Libraries and VTCs",,0,Construction Of A Kitchen 
006/132/235/16-17,Construction Of Mata Youth Polytechnic,2016-2017,n/a,0,"Youth, Sports, Gender and Social Services",,0,Construction Of Mata Vtc
006/132/236/16-17,Jipe Road Bridges,2016-2017,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Fixing Of Culverts
006/132/237/16-17,Rehabilation Of Njoro-Mboghoni Road (12Km) - Pending Bills,2016-2017,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Rehabilation Of Njoro-Mboghoni Road (12Km) - Pending Bills
