Project Number,Project Title,Financial Year,Contractor Name,Estimated Cost,Department,Approval/Contract Number,Amount Paid,Project Scope
006/130/109/22-23,Kiteghe Water Pan,2022-2023,Raphai General Supplies And Construction Ltd,1999302.5,"Water, Sanitation, Environment, Climate Change and Natural Resources",,1999302.5,Kiteghe Water Pan
006/130/11/24-25,Construction Of Mleghwa Dispensary Toilet ,2024-2025,Steve Ventures,1068743,Health Services,,1068743,
006/130/110/22-23,Proposed Garbage Receptable And Cabro Works -Rukanga Market,2022-2023,Mwashig Company Ltd,1993143,"Trade, Tourism, Culture and Industrialization",,1993143,Proposed Garbage Receptable And Cabro Works -Rukanga Market
006/130/111/22-23,Women And Youth Empowerment,2022-2023,n/a,990060,"Youth, Sports, Gender and Social Services",,990060,Women And Youth Empowerment
006/130/112/22-23,Supply And Delivery Of Green Grams,2022-2023,n/a,916300,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",,916300,Supply And Delivery Of Green Grams
006/130/113/22-23,Bughuta Maternity Block Completion,2022-2023,Mwabena Construction Company Ltd,4598472,Health Services,,4598472,Bughuta Maternity Block Completion
006/130/114/22-23,Kururu Pangachi Road,2022-2023,RONRICE SERVICES LTD," 800,000.00 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",," 800,000.00 ",Formation Of The Road
006/130/115/21-22,Gaza Ecde Class +Kitchen,2021-2022,MOMBASA ROAD GENERAL SUPPLIES," 1,128,232.20 ","Education, Libraries and VTCs",," 1,128,232.20 ",Constraction Of Class & Kitchen
006/130/116/21-22,Kaloleni Footbridge,2021-2022,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Construction Of Metalic Footbridge
006/130/117/21-22,Tanzania Ecde Toilet&Fence,2021-2022,MBILO LTD," 599,150 ","Education, Libraries and VTCs",," 599,150 ",Construction Of Tanzania Ecde Toilet And Fence
006/130/118/21-22,Bondeni Social Hall+Toilet,2021-2022,Mwagho Co Limited," 744,677.00 ","Youth, Sports, Gender and Social Services",," 744,677.00 ",Construction Of Modern Hall And 4 Door Toilet
006/130/12/24-25,Cabro Mazeras Ferry,2024-2025,n/a,10000000,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,10000000,
006/130/120/21-22,Mwanyambo Ecde,2021-2022,n/a,2000000,"Education, Libraries and VTCs",,2000000,Construction Of Modern Classes
006/130/121/21-22,Sofia Bona Fencing &Toilet,2021-2022,MBILO LIMITED," 270,540.00 ","Education, Libraries and VTCs",," 270,540.00 ",Planting Of Chain Ling And Constrution Of 2 Door Toilet
006/130/122/21-22,Kwa Mzungu Box Culvert,2021-2022,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Construction Of Box Culvert
006/130/123/21-22,Birikani Social Hall,2021-2022,GUYANA ENTERPRISES LTD," 2,194,265.00 ","Youth, Sports, Gender and Social Services",," 2,194,265.00 ",Construction Of Modern Hall 
006/130/124/21-22,Kaloleni Basket Ball Court,2021-2022,MEHER ENGINEERING LTD," 1,492,953.00 ","Youth, Sports, Gender and Social Services",," 1,492,953.00 ",Construction Of Court 
006/130/125/21-22,Kaloleni Social Hall Fence&Toilet,2021-2022,HATUNA CHUKI BREAKDOWN," 510,000.00 ","Youth, Sports, Gender and Social Services",, s ,Planting Of Chain Ling And Gate & 4 Door Toilet
006/130/126/21-22,Kaloleni Studio Equipments,2021-2022,GRACIOUS TENTS & SOUNDS," 3,628,000.00 ","Youth, Sports, Gender and Social Services",," 3,628,000.00 ",Equiping Of  Studio Facilites 
006/130/127/21-22,Mnaoni Ecde Toilet,2021-2022,KIDAYA GENERAL CONTRACTORS," 624,760 ","Education, Libraries and VTCs",,   ,Construction Of 2 Door Toilet
006/130/128/21-22,Gimba Ecde Class+Kitchen,2021-2022,n/a,1000000,"Education, Libraries and VTCs",,1000000,Construction Of Class & Kitchen
006/130/129/21-22,Tanzania Dispensary,2021-2022,SABEN HOLDINGS LIMITED," 1,595,893.00 ",Health Services,," 1,595,893.00 ",
006/130/13/24-25,Grading And Murraming Of Gimba Kalambe Road,2024-2025,Jewana General Contractor,1999588.6,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,1999588.6,
006/130/130/21-22,Gimba &Kalemba Footbridges,2021-2022,n/a,4000000,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,4000000,
006/130/131/21-22,Kaloleni Roads Rehabilitation,2021-2022,JEDY GENERAL CONTRACTORS," 3,273,874.80 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",," 3,273,874.80 ",
006/130/132/21-22,Completion Of Kaloleni Stadium,2021-2022,n/a,5000000,"Youth, Sports, Gender and Social Services",,5000000,
006/130/133/21-22,"Grants To Women, Youth And Plwd",2021-2022,n/a,4000000,"Youth, Sports, Gender and Social Services",,4000000,
006/130/134/21-22,Refurbishment Of Classes Sagala Vtc,2021-2022,n/a,0,"Education, Libraries and VTCs",,0,Refurbishment Of Sagala Vtc Classes
006/130/135/21-22,Construction Of Ndome Bodaboda Shed,2021-2022,Meta Med Supplies Ltd," 329,579.00 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",," 329,579.00 ",Completion Of Bodaboda Shed
006/130/136/21-22,Construction Of Ghazi Bodaboda Shed,2021-2022,Meta Med Supplies Ltd," 325,579.00 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",," 325,579.00 ",Completion Of Bodaboda Shed
006/130/138/20-21,Gaza Ecde Class +Kitchen,2020-2021,n/a,1500000,"Education, Libraries and VTCs",,1500000,Construction Of Class & Kitchen
006/130/139/20-21,Kaloleni Footbridge,2020-2021,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Construction Of Metalic Footbridge
006/130/14/24-25,Fuel For Routine Maintanance Of Kaloleni Roads,2024-2025,Tsavo Autopoint,1500000,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,1500000,
006/130/140/20-21,Kaloleni Feeder Road/Murram,2020-2021,Hatuna Chuki," 1,610,080.00 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",," 1,610,080.00 ",Murraming Of The Feeder Road
006/130/141/20-21,Tanzania Ecde Toilet&Fence,2020-2021,MBILO LTD,900000,"Education, Libraries and VTCs",,900000,Construction Of  Tanzania Ecde Toilet And Fence
006/130/142/20-21,Bondeni Social Hall+Toilet,2020-2021,Mwagho Co Limited," 744,677.00 ","Youth, Sports, Gender and Social Services",," 744,677.00 ",Construction Of Modern Hall And 4 Door Toilet
006/130/143/20-21,Bondeni Social Fence,2020-2021,MWAGHO COMPANY LTD," 3,396,031.50 ","Youth, Sports, Gender and Social Services",," 3,396,031.50 ",Construction Of Chain Ling
006/130/144/20-21,Mwanyambo Ecde,2020-2021,n/a,0,"Education, Libraries and VTCs",,0,Construction Of Modern Classes
006/130/145/20-21,Sofia Bona Fencing &Toilet,2020-2021,MBILO LIMITED," 270,540.00 ","Education, Libraries and VTCs",," 270,540.00 ",Planting Of Chain Ling And Constrution Of 2 Door Toilet
006/130/146/20-21,Kwa Mzungu Box Culvert,2020-2021,n/a,2500000,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,2500000,Construction Of Box Culvert
006/130/147/20-21,Birikani Social Hall,2020-2021,GUYANA ENTERPRISES LTD," 2,194,265.00 ","Youth, Sports, Gender and Social Services",," 2,194,265.00 ",Construction Of Modern Hall 
006/130/148/20-21,Kaloleni Basket Ball Court,2020-2021,MEHER ENGINEERING LTD," 1,492,953.00 ","Youth, Sports, Gender and Social Services",," 1,492,953.00 ",Construction Of Court 
006/130/149/20-21,Kaloleni Social Hall Fence&Toilet,2020-2021,HATUNA CHUKI BREAKDOWN," 510,000.00 ","Youth, Sports, Gender and Social Services",," 510,000.00 ",Planting Of Chain Ling And Gate & 4 Door Toilet
006/130/15/24-25,Voi Modern Market Roof Extension,2024-2025,n/a,500000,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,500000,
006/130/150/20-21,Kaloleni Studio Equipments,2020-2021,GRACIOUS TENTS & SOUNDS," 3,628,000.00 ","Youth, Sports, Gender and Social Services",," 3,628,000.00 ",Equiping Of  Studio Facilites 
006/130/151/20-21,Mnaoni Ecde Toilet,2020-2021,KIDAYA GENERAL CONTRACTORS," 624,760 ","Education, Libraries and VTCs",," 624,760 ",Construction Of 2 Door Toilet
006/130/153/20-21,Culverting And Rehabilitation Of Kaloleni Ward Roads,2020-2021,n/a,2500000,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,2500000,
006/130/154/20-21,Grants To Support Women And Youth And Pwd'S,2020-2021,n/a,2500000,"Youth, Sports, Gender and Social Services",,2500000,
006/130/155/20-21,Purchase Of Complete Studio Equipment,2020-2021,n/a,1300000,"Youth, Sports, Gender and Social Services",,1300000,
006/130/156/20-21,"Support For Teams (Ndovu Fc, Eastern Rovers Fc)",2020-2021,n/a,500000,"Youth, Sports, Gender and Social Services",,500000,
006/130/157/20-21,Construction Of Basketball Court At Kaloleni,2020-2021,MEHER ENGINEERING LTD," 1,492,953.00 ","Youth, Sports, Gender and Social Services",," 1,492,953.00 ",
