Project Number,Project Title,Project Status,Financial Year,Contractor Name,Estimated Cost,Department,Implemented By,Partner,Expected Start Date,Expected End Date,Approval/Contract Number,Contract Period (Days),Technical Rating,Completion Level,Amount Paid,Total Percentage,Project Scope,Administrative Level,Project Location,Location Names,Latitude,Longitude,Funded By,Percentage of Funding,Partner,,Admin Level,Admin
006/133/90/22-23,MWAMKOLO ROAD,Complete,2022-2023,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,1000000,100,"Formation, filling and roller",Admin 3,,Bura,-3.5000700,38.317619,County Government,100,,,Admin 3,Bura
006/133/91/22-23,CONSTRUCTION OF MAKANGA SOCIAL HALL 2 DOOR TOILET,Complete,2022-2023,ROMWAKI ENTERPRISES (E.A ) LTD 17 NG'AMBWA,0,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,800000,100,CONSTRUCTION OF MAKANGA SOCIAL HALL 2 DOOR TOILET,Admin 3,,Chawia,0,0,County Government,100,,,Admin 3,Chawia
006/133/92/22-23,PROPOSED CONSTRUCTION OF KITIVO SOCIAL  HALL,Complete,2022-2023,KIZU ENTERPRISES LTD P.O BOX 107 NG'AMBWA,0,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,2999905,100,PROPOSED CONSTRUCTION OF KITIVO SOCIAL  HALL,Admin 3,,Chawia,0,0,County Government,100,,,Admin 3,Chawia
006/133/93/22-23,SUPPLY AND DELIVERY OF SPORT ITEMS AND OTHER ASSORTED ITEMS,Complete,2022-2023,PATIKINA ENTERPRISES P.O BOX 68-80305 MWATATE ,0,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,1000000,100,SUPPLY AND DELIVERY OF SPORT ITEMS AND OTHER ASSORTED ITEMS,Admin 3,,Chawia,0,0,County Government,100,,,Admin 3,Chawia
006/133/94/22-23,DRIVING SCHOOL TRAINING FOR 43 STUDENTS,Complete,2022-2023,TRUCK DRIVING SCHOOL,0,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,1635000,100,DRIVING SCHOOL TRAINING FOR 43 STUDENTS,Admin 3,,Chawia,0,0,County Government,100,,,Admin 3,Chawia
006/133/95/22-23,COMPLETION OF MANOA DISPENSARY LABORATORY,Complete,2022-2023,DISTON INVESTMENT LIMITED,0,Health Services,County Government,,,,,0,,0,3105508,100,COMPLETION OF MANOA DISPENSARY LABORATORY,Admin 3,,Chawia,-3.59487,38.332648,County Government,100,,,Admin 3,Chawia
006/133/96/22-23,SUPPLY AND DELIVERY OF PLASTIC TANKS,Complete,2022-2023,FEDHA KENYA LIMITED,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,,0,,0,999920,100,SUPPLY AND DELIVERY OF PLASTIC TANKS,Admin 3,,Chawia,0,0,County Government,100,,,Admin 3,Chawia
006/133/97/22-23,REHABILITATION OF ALIA WATER PROJECT,Complete,2022-2023,SCAN CONSTRUCTION LIMITED,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,,0,,0,2992800,100,REHABILITATION OF ALIA WATER PROJECT,Admin 3,,Chawia,0,0,County Government,100,,,Admin 3,Chawia
006/133/98/22-23,MAINTANANCE OF CHAWIA ROADS,Complete,2022-2023,MWANEDU GENERAL HOLDINGS,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,2000000,100,MAINTANANCE OF CHAWIA ROADS,Admin 3,,Chawia,0,0,County Government,100,,,Admin 3,Chawia
006/133/99/22-23,BUSH CLEARING OF CHAWIA ROADS,Complete,2022-2023,LIANTO CONTRACTORS LIMITED,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,498496,100,BUSH CLEARING OF CHAWIA ROADS,Admin 3,,Chawia,0,0,County Government,100,,,Admin 3,Chawia
1660210-1/2425,MOZO FUNJU WATER PROJECT,Complete,2024-2025,DINARI YETU LTD,2000387.91,"Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,1660210-1/2425,120,,0,0,0,PURCHASING AND INSTALLITION WORKS,Admin 3,,Mwanda/Mgange,0,0,County Government,100,,,Admin 3,Mwanda/Mgange
1660244-2024/2025,CONSTRUCTION OF LUSHANGONYI CHOKE WESU ROAD,Complete,2024-2025,DINARI YETU LIMITED,4970338.15,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,1660244-2024/2025,0,,0,0,0,CONSTRUCTION OF  CULVETS,Admin 3,,Mwanda/Mgange,0,0,County Government,100,,,Admin 3,Mwanda/Mgange
1660497-2024/2025,Replacement of Mghambonyi market roof,Complete,2024-2025,LEMAX AGENCIES LIMITED,1997636,"Trade, Tourism, Culture and Industrialization",County Government,,01-28-25,03-18-25,1660497-2024/2025,45,,0,0,0,UNROOFING OLD ROOF SHEETS. INSTALLATION OF NEW ROOF SHEETS,Admin 3,,Mwanda/Mgange,0,0,County Government,100,,,Admin 3,Mwanda/Mgange
1660603/2024-2025,REHABILITATION AND EXPANSION OF KIVINGO WATER PAN,Complete,2024-2025,TAMUCO COMPANY LIMITED,6988229.33,"Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,1660603/2024-2025,120,,0,0,0,EXCAVATION WORKS,Admin 3,,Sagala,0,0,County Government,100,,,Admin 3,Sagala
1660686-1/2024-2025,PURCHASE AND INSTALLATION OF PIPES FOR SUPPLIYING WATER TO MAJENGO AND MTAKUJA A VILLAGE,Complete,2024-2025,LYDKO TECH SOLUTIONS LTD,1398650,"Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,1660686-1/2024-2025,120,,0,1398650,0,PURCHASING AND INSTALLITION WORKS,Admin 3,,Mata,0,0,County Government,100,,,Admin 3,Mata
1660721-2024/2025,CONSTRUCTION OF TTU - MRABENYI ROAD,Complete,2024-2025,KEDU SOLUTIONS,998912.55,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,1660721-2024/2025,120,,0,0,0,CONSTRUCTION OF SLABS AND CULVETS,Admin 3,,Ronge,0,0,County Government,100,,,Admin 3,Ronge
1661148-2024/2025,CONSTRUCTION OF KISANGARINYI - MWALASHI RD,Complete,2024-2025,JACKLO COMPANY LIMITED,4596234,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,1661148-2024/2025,0,,0,0,0,CONSTRUCTION OF  CULVETS,Admin 3,,Mwanda/Mgange,0,0,County Government,100,,,Admin 3,Mwanda/Mgange
1661233-2024/2025,CONSTRUCTION OF MWAMBOGHO-MWANARIA PHASE III ROAD,Complete,2024-2025,SHANTE CONTRACTORS,1485356.8,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,1661233-2024/2025,0,,0,0,0,CONSTRUCTION OF SLABS AND CULVETS,Admin 3,,Wumingu/Kishushe,0,0,County Government,100,,,Admin 3,Wumingu/Kishushe
1661318-2024/2025,Construction of Mleghwa dispensary toilet,Complete,2024-2025,STEVE VENTURES,1000000,Health Services,County Government,,,,1661318-2024/2025,73,,0,0,0,CONTRACTION OF STRUCTURE BUILDING FROM FOUNDATION TO FINISHED AND FITTINGS,Admin 3,,Kaloleni,0,0,County Government,100,,,Admin 3,Kaloleni
1661451-2024/2025,Completion of Manga ECDE fencing,Not Started,2024-2025,DAPRY CONTRACTORS,700000,"Education, Libraries and VTCs",County Government,,,03-15-25,1661451-2024/2025,45,,0,0,0,CONTRUCTION OF ROUND POLES AND CHAINLINK WORKS,Admin 3,,Ngolia,0,0,County Government,100,,,Admin 3,Ngolia
1662284-2024/2025,MKUONYI-NGANDENYI-POMPO-MBONUNYI-VIGHONMBONYI ROAD,Complete,2024-2025,HEFESHA ENTERPRISES,2398926.4,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,1662284-2024/2025,0,,0,0,0,CONSTRUCTION OF SLABS AND CULVETS,Admin 3,,Wumingu/Kishushe,0,0,County Government,100,,,Admin 3,Wumingu/Kishushe
1662558/2024-2025,EQUIPING & SOLARIZATION AND DISTRIBUTION OF UTHIANI IRRIGATION BOREHOLE,Complete,2024-2025,RAPHAI GENERAL SUPPLIES AND CONSTRUCTORS LIMITED,6955085.23,"Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,1662558/2024-2025,120,,0,0,0,PURCHASE AND INSTALLATION WORKS FOR SOLAR PANELS,Admin 3,,Chala,0,0,County Government,100,,,Admin 3,Chala
1663087/2024-2025,INSTALLATION OF ELECTRICITY POWER AND SUPPLY OF PIEPES IN LESSESIA WATER PROJECT,Complete,2024-2025,MUBESIRU CONSTRUCTION COMPANY LIMITED,500000,"Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,1663087/2024-2025,120,,0,0,0,PIPPING WORKS AND INSTALLATION OF PUMP AND ELECTRICAL WORKS,Admin 3,,Mahoo,0,0,County Government,100,,,Admin 3,Mahoo
1663105/24-2025,"MOBILIZATION,HYDROGEOLOGICAL SURVEY AND DRILLING OF KIZUMANZI-KANYANGA COMMUNITY BOREHOLE IN SAGALLA WARD",Complete,2024-2025,SPARVA GENERAL SUPPLIES,1430367,"Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,1663105/24-2025,120,,0,0,0,DRILLING WORKS AND CONSTUCTION WORKS,Admin 3,,Sagala,0,0,County Government,100,,,Admin 3,Sagala
166310O/24-25,"MOBILIZATION,HYDROGEOLOGGICAL SURVEY AND DRILLING OF WRAY BOREHOLE IN SAGALLA WARD",Complete,2024-2025,GYNETT COMPANY LIMITED,1484133,"Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,166310O/24-25,120,,0,0,0,DRILLING WORKS AND CONSTUCTION WORKS,Admin 3,,Sagala,0,0,County Government,100,,,Admin 3,Sagala
1663112/2024-2025,INSTALLATION OF ELECTRICITY POWER AND SUPPLY OF PIEPES IN LANGATA WATER PROJECT,Complete,2024-2025,MUBESIRU CONSTRUCTION COMPANY LIMITED,500000,"Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,1663112/2024-2025,120,,0,0,0,PIPPING WORKS AND INSTALLATION OF PUMP AND ELECTRICAL WORKS,Admin 3,,Mahoo,0,0,County Government,100,,,Admin 3,Mahoo
1663397-2024/2025,Renovation of Operating Theatre at Wesu Sub County Hospital,Complete,2024-2025,FELCON ENTERPRISES LIMITED,1991140,Health Services,County Government,,,,1663397-2024/2025,30,,0,0,0,CONTRACTION OF STRUCTURE BUILDING FROM FOUNDATION TO FINISHED AND FITTINGS,Admin 3,,Wundanyi/Mbale,0,0,County Government,100,,,Admin 3,Wundanyi/Mbale
1663566/2024-2025,DRILLING AND DEVELOPING OF GANDIA KIRIWENYI BOREHOLE,Complete,2024-2025,SWAHAM INVESTMENTS LIMITED,7302026,"Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,1663566/2024-2025,120,,0,930675,0,DRILLING WORKS AND CONSTUCTION WORKS,Admin 3,,Bura,0,0,County Government,100,,,Admin 3,Bura
1663574-3/2024-2025,INSTALLATION OF WATER PUMP AND PIPPING IN BUSTANI BOREHOLE,Complete,2024-2025,MAKA INDUSTIRES LIMITED,3485333,"Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,1663574-3/2024-2025,120,,0,0,0,PIPPING WORKS AND INSTALLATION OF PUMP,Admin 3,,Bomani,0,0,County Government,100,,,Admin 3,Bomani
1663579-2/2024-2025,IMPROVEMENT OF MAWORENYI MARIWE-KIWETO WATER PROJECT,Complete,2024-2025,ELDOKITS AGENCIES LIMITED,994497.64,"Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,1663579-2/2024-2025,120,,0,0,0,PURCHASING AND INSTALLITION WORKS,Admin 3,,Ronge,0,0,County Government,100,,,Admin 3,Ronge
1663883-2024/2025,COMPLETION OF KIBAONI TO MWANANGAO ROAD,Complete,2024-2025,UNITECH INDUSTRIAL TRADING LIMITED,1999900,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,1663883-2024/2025,120,,0,0,0,LIGHT GRADING AND MURRAMING,Admin 3,,Marungu,0,0,County Government,100,,,Admin 3,Marungu
1664549/2024-2025,REHABILITATION OF NDOLWA WATER PROJECT,Ongoing,2024-2025,YOANI VENTURES LIMITED,6447890,"Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,1664549/2024-2025,120,,0,0,0,CONTRUCTION WORKS AND PIPPING,Admin 3,,Mwanda/Mgange,0,0,County Government,100,,,Admin 3,Mwanda/Mgange
1664551-2024/2025,MALELA WATER PROJECT,Ongoing,2024-2025,JEFFLYNE ENTERPRISES,4862188.16,"Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,1664551-2024/2025,120,,0,0,0,CONTRUCTION WORKS AND PIPPING,Admin 3,,Werugha,0,0,County Government,100,,,Admin 3,Werugha
1664552-2024/2025,NGELENYI WATER PROJECT,Complete,2024-2025,NURKEY TECHNICAL SERVICES,5488067.3,"Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,1664552-2024/2025,120,,0,0,0,CONTRUCTION WORKS AND PIPPING,Admin 3,,Wundanyi/Mbale,0,0,County Government,100,,,Admin 3,Wundanyi/Mbale
1664552/2024-2025,DECCOMMISSIONING OF CHAKALERI DUMPSITE,Stalled,2024-2025,MAKA INDUSTIRES LIMITED,2782840,"Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,1664552/2024-2025,120,,0,0,0,COMPLETED WORKS BEING COMMISSIONED AND HANDEDOVER,Admin 3,,Headquarters,0,0,County Government,100,,,Admin 3,Headquarters
1664560/2024-2025,MENGO WATER PROJECT INSTALLATION AND DISTRIBUTION LINES,Complete,2024-2025,C AND O SNOWTECH GROUP LIMITED,1498928.8,"Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,1664560/2024-2025,120,,0,0,0,PIPPING WORKS AND INSTALLATION OF PUMP AND TANK,Admin 3,,Ronge,0,0,County Government,100,,,Admin 3,Ronge
1664566/2024-2025,REHABILITATION OF GHAZI WATER PROJECT,Ongoing,2024-2025,BOHETI INVESTMENTS,4866834.55,"Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,1664566/2024-2025,120,,0,0,0,CONTRUCTION WORKS AND PIPPING,Admin 3,,Ngolia,0,0,County Government,100,,,Admin 3,Ngolia
1664568/2024-2025,DISTILLING OF MALELA DAM,Complete,2024-2025,JUFESA INVESTMENTS LIMITED,1999630.48,"Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,1664568/2024-2025,120,,0,0,0,DISTILLING WORKS -EXCAVATOR,Admin 3,,Werugha,0,0,County Government,100,,,Admin 3,Werugha
1664570/2024-2025,MAHOO STORM WATER MANAGEMENT,Ongoing,2024-2025,RAPHAI GENERAL SUPPLIES AND CONSTRUCTORS LIMITED,6829497.1,"Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,1664570/2024-2025,120,,0,0,0,EXCAVATION WORKS,Admin 3,,Mahoo,0,0,County Government,100,,,Admin 3,Mahoo
1665788-2024/2025,Construction of Bamako Dispensary phase 3,Complete,2024-2025,BROMSAGE LIMITED,1000000,Health Services,County Government,,,,1665788-2024/2025,100,,0,0,0,CONTRACTION OF STRUCTURE BUILDING FROM FOUNDATION TO FINISHED AND FITTINGS,Admin 3,,Sagala,0,0,County Government,100,,,Admin 3,Sagala
1665861-2024/2025,"Supply , installation and commissioning of Laundry Machine at Taveta Sub County Hospital,Wesu and Moi County Refferal Hospital",Complete,2024-2025,DAMBALA SABAQUO DESIGNS LIMITED,17821521,Health Services,County Government,,,,1665861-2024/2025,120,,0,0,0,SUPPLY AND DELIVERY AND INSTALLATION,Admin 3,,Headquarters,0,0,County Government,100,,,Admin 3,Headquarters
1666174-2024/2025,GRADING AND GRAVELLING OF CHALA WARD ROADS,Complete,2024-2025,TALEK AND LIGHT COMPANY LTD,3991684.4,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,1666174-2024/2025,0,,0,0,0,"LIGHT GRADING, CLEARING OF BUSHES",Admin 3,,Chala,0,0,County Government,100,,,Admin 3,Chala
1666429/2024-2025,DRILLING OF MAHANDAKINI BOREHOLE,Complete,2024-2025,JAMALULEYL GENERAL CONTRACTOR AND SUPPLIES LIMITED,1695514,"Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,1666429/2024-2025,120,,0,0,0,DRILLING WORKS AND CONSTUCTION WORKS,Admin 3,,Chala,0,0,County Government,100,,,Admin 3,Chala
1666690-2024/2025,CONSTRUCTION OF MWAMBOTA -MKIYAYO ROAD,Complete,2024-2025,ELDOKITS AGENCIES LIMITED,2484234.66,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,1666690-2024/2025,0,,0,0,0,CONSTRUCTION OF  CULVETS,Admin 3,,Ronge,0,0,County Government,100,,,Admin 3,Ronge
1666969/2024-2025,PURCHASE OF PIPES FOR WATER SUPPLY AT MALK C,Complete,2024-2025,WINDRIA LIMITEED,1980000,"Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,1666969/2024-2025,120,,0,0,0,PIPE FITIING WORKS,Admin 3,,Mahoo,0,0,County Government,100,,,Admin 3,Mahoo
1669209-2024/2025,MWAGH'ORUA-KILULUNYI-MKANYATTA ROAD,Complete,2024-2025,DAWUA GENERAL CONTRACTOR,2998615.8,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,1669209-2024/2025,0,,0,0,0,CONSTRUCTION OF SLABS AND CULVETS,Admin 3,,Wumingu/Kishushe,0,0,County Government,100,,,Admin 3,Wumingu/Kishushe
1669309-4/2024-2025,CONSTRUCTION OF NGUWA WATER TANK,Complete,2024-2025,ARTIC WORKS LIMITED,2494999.92,"Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,1669309-4/2024-2025,120,,0,0,0,CONTRACTION WORKS AND PIPPING,Admin 3,,Wusi/Kishamba,0,0,County Government,100,,,Admin 3,Wusi/Kishamba
1669540-2024/2025,Purchase of pesticides for farmers,Complete,2024-2025,GOBRIC AGENCIES LIMITED,998000,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",County Government,,,01-30-25,1669540-2024/2025,0,,0,0,0,SUPPLY AND DELIVERY,Admin 3,,Kasigau,0,0,County Government,100,,,Admin 3,Kasigau
1669596-2024/2025,PROPOSED CONSTRUCTION OF MCHANGE SOCIAL HALL,Complete,2024-2025,DINARI YETU LTD P.O BOX 41964-00100 NAIROBI,1499995,"Youth, Sports, Gender and Social Services",County Government,,,,1669596-2024/2025,0,,0,0,0,GROUND LEVELING AND CONTRACTION WORKS-BUILDING STRUCTURES,Admin 3,,Ngolia,0,0,County Government,100,,,Admin 3,Ngolia
1672862/2024-2025,EXTENSION OF PIPING WATER FROM PIPELINE TO WILDLIFE CORRIDOR,Complete,2024-2025,RHODIUM TECHNOLOGY LIMITED,999970,"Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,1672862/2024-2025,120,,0,0,0,PIPPING WORKS AND INSTALLATION OF PUMP AND TANK,Admin 3,,Marungu,0,0,County Government,100,,,Admin 3,Marungu
1673273-2024/2025,FUEL FOR ROADS,Complete,2024-2025,HANZ PETROLEUM LTD,1250000,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,1673273-2024/2025,90,,0,0,0,LIGHT GRADING,Admin 3,,Ronge,0,0,County Government,100,,,Admin 3,Ronge
1673276-2024/2025,"CHAWIA ROADS(FUEL, CULVERTS, SLABBING AND MURRAMING)",Complete,2024-2025,HANZ PETROLEUM LTD,2999950,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,1673276-2024/2025,90,,0,0,0,CONSTRUCTION OF SLABS AND CULVETS,Admin 3,,Chawia,0,0,County Government,100,,,Admin 3,Chawia
1673280-2024/2025,FUEL FOR ROAD MAINTENANCE IN RONG'E WARD,Complete,2024-2025,TSAVO AUTOPOINT,1750000,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,1673280-2024/2025,90,,0,0,0,LIGHT GRADING,Admin 3,,Ronge,0,0,County Government,100,,,Admin 3,Ronge
1673309-2024/2025,MLONDO-MRARU-MCHONYI ROAD,Complete,2024-2025,DAWUA GENERAL CONTRACTOR,1498107.5,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,1673309-2024/2025,0,,0,0,0,CONSTRUCTION OF SLABS AND CULVETS,Admin 3,,Wumingu/Kishushe,0,0,County Government,100,,,Admin 3,Wumingu/Kishushe
1673310-2024/2025,GRADING OF PARANGA-MLALENYI-TELENYI-KWAAFITI ROAD,Complete,2024-2025,RELLAM CONTRACTORS LIMITED,2393196,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,1673310-2024/2025,0,,0,0,0,BUSH CLEARING AND LIGHT GRADING,Admin 3,,Wumingu/Kishushe,0,0,County Government,100,,,Admin 3,Wumingu/Kishushe
1678905-2024/2025,Construction of Kirumbi Dispensary phase 2,Complete,2024-2025,KITIBO ENGINEERING LTD,1499630,Health Services,County Government,,,,1678905-2024/2025,36,,0,0,0,CONTRACTION OF STRUCTURE BUILDING FROM FOUNDATION TO FINISHED AND FITTINGS,Admin 3,,Sagala,0,0,County Government,100,,,Admin 3,Sagala
1678971/2024-2025,"MOBILIZATION ,HYDROGEOLOGICAL SURVEY AND DRILLING OF LAGHATA B IRRIGATION BOREHOLE IN CHALLA WARD",Complete,2024-2025,EXACT TIDE VENTURES,1691709,"Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,1678971/2024-2025,120,,0,0,0,PURCHASING AND INSTALLITION WORKS,Admin 3,,Chala,0,0,County Government,100,,,Admin 3,Chala
1683006-2024/2025,Purchase of Oil Processor machine,Complete,2024-2025,SENTROY VENTURES LIMITED,999768,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",County Government,,,01-30-25,1683006-2024/2025,0,,0,0,0,SUPPLY AND DELIVERY AND INSTALLATION,Admin 3,,Kasigau,0,0,County Government,100,,,Admin 3,Kasigau
1683293-2024/2025,MAINTANANCE OF ROADS OF MATA WARD,Complete,2024-2025,STARDUST TECHNOLOGIES,4997985.3,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,1683293-2024/2025,0,,0,0,0,LIGHT GRADING MARRUMING,Admin 3,,Mata,0,0,County Government,100,,,Admin 3,Mata
1683441-2024/2025,Construction of Cancer Centre Phase II,Complete,2024-2025,RONRICE SERVICES LIMITED,6565509.2,Health Services,County Government,,,,1683441-2024/2025,60,,0,0,0,CONTRACTION OF STRUCTURE BUILDING FROM FOUNDATION TO FINISHED AND FITTINGS,Admin 3,,Mbololo,0,0,County Government,100,,,Admin 3,Mbololo
1683458-2024/2025,Completion of Gaza ECDE and fencing,Not Started,2024-2025,FRADOR DELTA GENERAL,1855072,"Education, Libraries and VTCs",County Government,,,04-15-25,1683458-2024/2025,120,,0,0,0,GROUND LEVELING AND CONTRACTION WORKS-BUILDING STRUCTURES,Admin 3,,Kaloleni,0,0,County Government,100,,,Admin 3,Kaloleni
